City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,san juan,-31.5375,-68.5364,38.77,18,93,5.92,San Juan,1707254230
190,kapuskasing,49.4169,-82.4331,3.05,93,100,4.63,Kapuskasing,1707254230
191,cockburn town,21.4612,-71.1419,25.29,74,0,13.84,Cockburn Town,1707254230
192,las veredas,23.1388,-109.7075,27.86,49,0,7.72,Las Veredas,1707254231
193,kishtwar,33.3167,75.7667,-4.77,70,0,3.11,Kishtwār,1707254231
194,alto araguaia,-17.3147,-53.2153,25.58,75,84,0.28,Alto Araguaia,1707254231
195,lompoc,34.6391,-120.4579,14.41,59,100,5.14,Lompoc,1707254231
196,palmer,42.1584,-72.3287,4.73,45,20,4.12,Palmer,1707254137
197,muromtsevo,56.3724,75.2418,-7.15,91,96,4.04,Muromtsevo,1707254231
198,kamina,-8.7386,24.9906,17.05,97,99,1.05,Kamina,1707254232
199,santana,-0.0583,-51.1817,30.1,74,40,4.12,Santana,1707254232
200,benguela,-12.5763,13.4055,27.31,75,87,0.37,Benguela,1707254232
201,yung shue wan,22.2333,114.1167,18.22,91,100,0.45,Yung Shue Wan,1707254232
202,cannonvale,-20.2833,148.7,27.66,84,62,3.95,Cannonvale,1707254233
203,lishui,28.4604,119.9103,2.49,97,100,1.83,Lishui,1707254233
204,petrovsk,52.3064,45.3917,-7.43,94,91,6.83,Petrovsk,1707254233
205,del rio,29.3627,-100.8968,22.06,37,0,6.69,Del Rio,1707254233
206,colonia,50.9333,6.95,12.36,71,40,9.26,Cologne,1707254019
207,naro moru,-0.1676,37.0213,11.97,80,14,1.06,Naro Moru,1707254234
208,mukalla,14.5425,49.1242,23.12,81,18,1.38,Mukalla,1707254234
209,port alfred,-33.5906,26.891,20.66,95,97,0.89,Port Alfred,1707254234
210,hermanus,-34.4187,19.2345,19.89,79,47,6.87,Hermanus,1707254234
211,longyearbyen,78.2186,15.6401,-10.09,67,20,7.2,Longyearbyen,1707254234
212,laguna,38.421,-121.4238,14.6,75,0,4.63,Laguna,1707254235
213,gerena,37.5561,-6.1621,13.09,91,0,2.05,Gerena,1707254235
214,flying fish cove,-10.4217,105.6791,22.82,100,73,1.03,Flying Fish Cove,1707254235
215,guarapari,-20.6667,-40.4975,24.38,90,100,3.43,Guarapari,1707254236
216,bomdila,27.25,92.4,1.43,95,98,1.0,Bomdila,1707254236
217,rio preto da eva,-2.6994,-59.6997,31.47,62,77,1.46,Rio Preto da Eva,1707254236
218,viedma,-40.8135,-62.9967,31.8,43,94,2.12,Viedma,1707254237
219,huangnihe,43.5583,128.0239,-19.84,96,14,1.94,Huangnihe,1707254237
220,gadzhiyevo,69.2551,33.3362,-18.04,99,97,5.07,Gadzhiyevo,1707254237
221,nuuk,64.1835,-51.7216,-5.66,63,75,4.63,Nuuk,1707254237
222,semnan,35.5729,53.3971,4.26,50,0,1.06,Semnan,1707254238
223,ribeira grande,38.5167,-28.7,17.22,94,75,7.6,Ribeira Grande,1707254238
224,puerto deseado,-47.7503,-65.8938,24.41,28,100,13.0,Puerto Deseado,1707254238
225,lugovoye,42.9094,72.7178,-0.58,60,98,4.18,Lugovoye,1707254238
226,strezhevoy,60.7333,77.5889,-0.02,90,100,6.26,Strezhevoy,1707254238
227,san salvador de jujuy,-24.1946,-65.2971,29.74,75,100,2.46,San Salvador de Jujuy,1707254239
228,ambatofinandrahana,-20.55,46.8,17.04,96,95,0.38,Ambatofinandrahana,1707254239
229,as sulayyil,20.4607,45.5779,19.14,47,90,5.1,As Sulayyil,1707254240
230,dakhla,23.6848,-15.958,20.01,68,100,8.75,Dakhla,1707254240
231,aasiaat,68.7098,-52.8699,-16.87,77,100,6.21,Aasiaat,1707254240
232,coquimbo,-29.9533,-71.3436,20.6,74,14,4.09,Coquimbo,1707253997
233,crockett,31.3182,-95.4566,19.99,26,0,0.0,Crockett,1707254058
234,daru,-9.0763,143.2092,25.58,92,100,3.41,Daru,1707254241
235,garachico,28.7781,-17.7646,17.49,42,0,2.57,Garachiko,1707254241
236,altayskoye,51.9533,85.3325,-9.58,81,22,2.82,Altayskoye,1707254242
237,aljezur,37.3191,-8.8033,14.2,95,7,2.54,Aljezur,1707254242
238,cadale,2.7603,46.3222,26.6,85,75,7.74,Cadale,1707254242
239,guiglo,6.5456,-7.4966,25.42,22,0,1.14,Guiglo,1707254242
240,aldinga beach,-35.2793,138.4604,15.93,81,2,2.79,Aldinga Beach,1707254243
241,st. john's,47.5649,-52.7093,0.64,96,100,12.96,St. John's,1707254172
242,linhai,28.85,121.1167,3.29,86,100,1.57,Linhai,1707254243
243,tongchuanshi,35.0806,109.0897,-3.06,72,91,2.27,Tongchuanshi,1707254243
244,dieppe,49.75,1.1667,11.85,85,98,1.34,Arrondissement de Dieppe,1707254243
245,afaahiti,-17.75,-149.2833,28.93,84,99,7.94,Afaahiti,1707254243
246,coruripe,-10.1256,-36.1756,27.3,79,76,5.44,Coruripe,1707254244
247,sao vicente,-23.9631,-46.3919,29.59,57,0,4.02,São Vicente,1707254244
248,yambio,4.5721,28.3955,23.88,32,1,1.83,Yambio,1707254244
249,preobrazheniye,42.9019,133.9064,-9.2,62,0,2.97,Preobrazheniye,1707254244
250,hohhot,40.8106,111.6522,-20.84,84,0,1.0,Hohhot,1707254244
251,kirensk,57.7853,108.1119,-15.58,100,100,1.79,Kirensk,1707254245
252,lepsy,46.235,78.9456,-9.57,87,97,1.89,Lepsy,1707254245
253,lincoln,40.8,-96.667,12.85,68,0,6.17,Lincoln,1707254171
254,pudozh,61.8099,36.5345,-26.7,100,70,1.79,Pudozh,1707254245
255,saipan,15.1355,145.701,24.39,69,20,3.6,Saipan,1707254116
256,utrik,11.2278,169.8474,26.36,81,99,7.2,Utrik,1707254246
257,victoria de durango,24.0333,-104.6667,27.27,6,0,4.92,Durango,1707254223
258,shache,38.4167,77.2406,-3.62,81,8,1.46,Shache,1707254246
259,harstad,68.799,16.5293,-4.36,93,95,3.64,Harstad,1707254246
260,kaoma,-14.7833,24.8,19.44,91,66,1.43,Kaoma,1707254247
261,eenhana,-17.4667,16.3333,22.53,71,98,2.9,Eenhana,1707254247
262,marsala,37.7966,12.4352,12.74,87,0,2.06,Marsala,1707254247
263,bubaque,11.2833,-15.8333,26.55,76,0,7.32,Bubaque,1707254247
264,were ilu,10.6,39.4333,12.36,80,21,3.21,Were Īlu,1707254247
265,puerto leguizamo,-0.1934,-74.7819,31.15,55,20,1.54,Caucayá,1707254247
266,ad dabbah,18.05,30.95,15.41,23,94,5.9,Ad Dabbah,1707254248
267,alta,69.9689,23.2717,-14.41,85,75,1.54,Alta,1707254248
268,niimi,34.9833,133.4667,3.08,96,38,1.36,Niimi,1707254068
269,bayanhongor,46.7167,100.1167,-26.62,71,13,1.6,Bayanhongor,1707254248
270,hastings,50.8552,0.5729,12.21,40,100,15.01,Hastings,1707254248
271,kayangel,8.0823,134.7173,27.37,77,100,9.59,Kayangel,1707254249
272,kone,-21.0595,164.8658,26.23,86,100,2.16,Koné,1707254249
273,westport,41.1415,-73.3579,5.99,54,0,3.13,Westport,1707254249
274,vorkuta,67.5,64.0,-25.41,98,96,1.52,Vorkuta,1707254249
275,pogar,52.554,33.2591,-4.91,96,99,0.7,Pogar,1707254249
276,yemva,62.59,50.8594,-31.57,100,100,1.17,Yemva,1707254250
277,heroica matamoros,25.8833,-97.5,23.94,41,0,2.57,Heroica Matamoros,1707254250
278,collie,-33.3667,116.15,14.27,73,0,3.72,Collie,1707254250
279,castillos,-34.1667,-53.8333,23.97,63,0,6.78,Castillos,1707254250
280,orsa,54.5153,30.4053,-7.84,96,100,2.32,Orsha,1707254160
281,dunedin,-45.8742,170.5036,15.45,99,100,4.92,Dunedin,1707254251
282,kanazawa,36.5944,136.6256,3.0,84,100,1.09,Kanazawa,1707254251
283,nemuro,43.3236,145.575,-8.13,74,37,1.74,Nemuro,1707254251
284,pandan,14.0453,124.1694,24.91,84,91,3.83,Pandan,1707254251
285,kesap,40.9164,38.5144,9.9,70,83,3.57,Keşap,1707254251
286,yazihan,38.5947,38.18,3.15,70,0,2.57,Yazıhan,1707254252
287,bonthe,7.5264,-12.505,27.29,84,0,4.14,Bonthe,1707254252
288,cotacachi,0.3,-78.2667,19.75,78,93,1.8,Cotacachi,1707254252
289,sola,-13.8833,167.55,29.37,79,75,0.0,Sola,1707254252
290,callao,-12.0667,-77.15,28.16,65,0,7.72,Callao,1707254252
291,barclayville,4.6797,-8.2339,27.07,85,2,3.25,Barclayville,1707254253
292,neufchatel-en-bray,49.7332,1.4396,12.07,85,98,9.57,Neufchâtel-en-Bray,1707254253
293,olinda,-8.0089,-34.8553,28.85,74,40,3.6,Olinda,1707254253
294,san pedro pochutla,15.7333,-96.4667,29.84,49,13,3.38,San Pedro Pochutla,1707254253
295,machico,32.7,-16.7667,20.0,60,20,3.6,Machico,1707254253
296,vernon,50.2581,-119.2691,2.64,100,100,0.51,Vernon,1707254254
297,nova xavantina,-14.6667,-52.35,29.83,64,47,1.68,Nova Xavantina,1707254254
298,ambodifotatra,-16.9833,49.85,27.17,76,100,4.23,Ambodifotatra,1707254254
299,ulanhot,46.0833,122.0833,-16.29,78,2,2.35,Ulanhot,1707254254
300,mermoz boabab,14.7065,-17.4758,29.31,57,0,3.09,Mermoz Boabab,1707254255
301,uturoa,-16.7333,-151.4333,28.06,85,100,12.13,Uturoa,1707254255
302,malango,-2.9627,119.9001,20.02,96,100,1.21,Malango,1707254255
303,niafunke,15.9322,-3.9906,23.21,11,0,5.62,Niafunké,1707254255
304,barda,40.3744,47.1267,4.75,75,48,3.81,Bǝrdǝ,1707254255
305,hammerfest,70.6634,23.6821,-5.75,68,75,3.6,Hammerfest,1707254256
306,khandyga,62.6667,135.6,-41.33,99,98,0.99,Khandyga,1707254256
307,winnemucca,40.973,-117.7357,2.03,87,100,3.09,Winnemucca,1707254256
308,vilyuysk,63.7553,121.6247,-29.44,100,99,0.45,Vilyuysk,1707254256
309,ketchikan,55.3422,-131.6461,2.99,80,100,0.0,Ketchikan,1707254257
310,kingston,17.997,-76.7936,28.53,52,75,9.26,Kingston,1707254183
311,tralee,52.2704,-9.7026,5.86,88,100,2.44,Tralee,1707254257
312,la manga del mar menor,37.6413,-0.7165,15.02,65,0,2.57,La Manga del Mar Menor,1707254257
313,jinan,36.6683,116.9972,-2.03,79,2,1.14,Jinan,1707254257
314,puerto quijarro,-17.7833,-57.7667,29.64,63,100,2.19,Puerto Quijarro,1707254257
315,topolobampo,25.6,-109.05,25.95,27,75,6.69,Topolobampo,1707254258
316,constitucion,-35.3333,-72.4167,21.64,72,40,6.99,Constitución,1707254157
317,lubuklinggau,-3.3,102.8667,22.46,94,100,0.82,Lubuklinggau,1707254258
318,opuwo,-18.0607,13.84,22.22,80,100,4.25,Opuwo,1707254258
319,zavolzhsk,57.4823,42.1378,-26.61,100,69,1.66,Zavolzhsk,1707254258
320,tsiombe,-25.3,45.4833,22.54,95,67,2.33,Tsiombe,1707254259
321,morondava,-20.2833,44.2833,26.97,78,77,1.5,Morondava,1707254259
322,penzance,50.1186,-5.5371,11.54,94,100,14.99,Penzance,1707254162
323,bobo-dioulasso,11.1771,-4.2979,26.25,15,47,3.09,Bobo-Dioulasso,1707254259
324,belyy yar,53.6039,91.3903,-21.06,100,66,0.0,Belyy Yar,1707254259
325,rawlins,41.7911,-107.2387,8.94,43,0,7.72,Rawlins,1707254259
326,acapulco de juarez,16.8634,-99.8901,29.9,58,20,4.63,Acapulco de Juárez,1707254034
327,kerikeri,-35.2268,173.9474,20.51,86,8,0.45,Kerikeri,1707254260
